iter	Logloss
0	0.657909603
1	0.6271946869
2	0.6008972412
3	0.5783038961
4	0.5582040245
5	0.5407939981
6	0.5241578651
7	0.5111015773
8	0.4983987967
9	0.4877390004
10	0.4778097485
11	0.4687139613
12	0.4617282405
13	0.4546213968
14	0.4483421705
15	0.4431613553
16	0.4373531697
17	0.4322497537
18	0.4267108599
19	0.4217702984
20	0.4180946766
21	0.412717719
22	0.4078393218
23	0.4046438413
24	0.4019856041
25	0.4001037202
26	0.3973639482
27	0.3939023078
28	0.3877325671
29	0.3814564512
30	0.3727439855
31	0.3661216238
32	0.3630653594
33	0.3604467387
34	0.3589395943
35	0.3572872455
36	0.355779758
37	0.3541982233
38	0.3525660167
39	0.349565748
40	0.3476014085
41	0.3456861524
42	0.3446277068
43	0.3425538343
44	0.3418689943
45	0.3404720456
46	0.3396204138
47	0.3375434159
48	0.3330078468
49	0.3279800943
50	0.3274699981
51	0.3264361729
52	0.3251579082
53	0.3237282683
54	0.3231733917
55	0.3225292987
56	0.3207348316
57	0.3203367579
58	0.3196923773
59	0.3179080212
60	0.3157444783
61	0.3140569584
62	0.3136792674
63	0.3118109361
64	0.3087868625
65	0.3077144202
66	0.3071880582
67	0.3048396553
68	0.3036665489
69	0.3031558275
70	0.301663215
71	0.3014265343
72	0.297555606
73	0.29593298
74	0.2930116655
75	0.2927863773
76	0.29250213
77	0.292177855
78	0.2895023194
79	0.2874853705
80	0.2872684088
81	0.2858355799
82	0.2856122681
83	0.2840548008
84	0.2817398243
85	0.2813786612
86	0.281011297
87	0.2801840421
88	0.2799098611
89	0.2797467003
90	0.2795716061
91	0.2792512257
92	0.2785610769
93	0.2776529786
94	0.2774716582
95	0.2768337326
96	0.2762224347
97	0.2743698033
98	0.27313852
99	0.2726974922
100	0.2725072896
101	0.2720911356
102	0.27193537
103	0.2714707717
104	0.2713706636
105	0.2703005365
106	0.2695308248
107	0.2693044547
108	0.2687369932
109	0.2676188053
110	0.2671411011
111	0.2662097767
112	0.2661101243
