iter	Logloss
113	0.2657486741
114	0.2653003261
115	0.2652106751
116	0.265120985
117	0.264823569
118	0.2645147979
119	0.2633678431
120	0.2627166137
121	0.2619431483
122	0.2616915821
123	0.2612429284
124	0.260797938
125	0.2606831484
126	0.2598346343
127	0.2592888817
128	0.2590196644
129	0.258574867
130	0.2585113278
131	0.2582251074
132	0.258136736
133	0.2580494059
134	0.257994196
135	0.2576089604
136	0.2574449684
137	0.2573427931
138	0.2567624346
139	0.2564910345
140	0.2557529885
141	0.2556794916
142	0.2554125079
143	0.2553092283
144	0.2545590014
145	0.2543319692
146	0.2531821137
147	0.2529021548
148	0.252833128
149	0.2527263003
150	0.2520016097
151	0.2518187323
152	0.2517343334
153	0.2514143167
154	0.2513522448
155	0.2512709935
156	0.2510641171
157	0.2509292035
158	0.2506611511
159	0.250589241
160	0.2505372499
161	0.2503365455
162	0.2502661962
163	0.2501488728
164	0.249697026
165	0.2496221891
166	0.2495322499
167	0.2494738528
168	0.249427628
169	0.2492795189
170	0.2492274798
171	0.2491226121
172	0.2486331718
173	0.2484257833
174	0.2483754304
175	0.2483348651
176	0.2481162646
177	0.247799832
178	0.2477454629
179	0.2475228293
180	0.2473594357
181	0.2467420453
182	0.2463017328
183	0.246164901
184	0.2451632081
185	0.2450949561
186	0.2449863678
187	0.2439412584
188	0.2436793716
189	0.2435852672
190	0.2434524121
191	0.2428130789
192	0.2427490558
193	0.2426847773
194	0.2425279545
195	0.2421979468
196	0.2419042553
197	0.2417976532
198	0.2417588565
199	0.2413822327
200	0.2410007097
201	0.2409645402
202	0.2406199977
203	0.2404468236
204	0.2403844811
205	0.2400605407
206	0.2398261938
207	0.2395392692
208	0.2392488703
209	0.2386529093
210	0.2384671814
211	0.2384252432
212	0.2382397739
213	0.2380526437
214	0.2380084908
215	0.2379172432
216	0.2378764333
217	0.2378311337
218	0.2377182193
219	0.2375513461
220	0.237501507
221	0.237280292
222	0.2372243357
223	0.236833469
224	0.2365267866
225	0.2361481578
226	0.2353684712
227	0.2352991814
228	0.2346814642
229	0.2345258349
230	0.2343985529
231	0.2342585198
232	0.2340878171
233	0.2340288306
234	0.233578561
235	0.2331509811
236	0.2330262777
237	0.2329702824
238	0.2329197127
239	0.2327529689
240	0.2326322445
241	0.2325616539
242	0.232140371
243	0.2318790855
244	0.2317025916
245	0.2314717129
246	0.2314326567
247	0.2313583311
248	0.2312264948
249	0.2310773121
250	0.2310252991
251	0.2304917931
252	0.2303285653
253	0.2301891101
254	0.230098803
255	0.2300580328
256	0.2300188198
257	0.2298973949
258	0.2297066431
259	0.2295992934
260	0.2295617729
261	0.2295094063
262	0.2294771047
263	0.2294109914
264	0.2289138507
265	0.2285696882
266	0.2283013242
267	0.2281842763
268	0.2281137873
269	0.2277789799
270	0.2276541877
271	0.2272590077
272	0.2271631717
273	0.2271217673
274	0.2270800677
275	0.2270319245
276	0.2269870656
277	0.2268148597
278	0.2266740051
279	0.2266030835
280	0.226461514
281	0.2262449027
282	0.2259015198
283	0.2258585957
284	0.2258201779
285	0.2257256908
286	0.2256495246
287	0.2256042261
288	0.225558565
289	0.225381127
290	0.2252894059
291	0.225257122
292	0.2250191245
293	0.2249842321
294	0.2248621679
295	0.2248251964
296	0.2247883965
297	0.2247457357
298	0.2244482536
299	0.2244182718
300	0.2243791491
301	0.2243423204
302	0.224291585
303	0.2239967239
304	0.2239394293
305	0.2239028784
306	0.2237966761
307	0.223692803
308	0.2235553973
309	0.2234996306
310	0.2234518105
311	0.2233131039
312	0.2230641184
313	0.2230270819
314	0.2229872816
315	0.222910008
316	0.2228703937
317	0.2228372222
318	0.2227714277
319	0.2227421317
320	0.2226919627
321	0.2226625474
322	0.2226193577
323	0.2225776805
324	0.2225479802
325	0.2225144666
326	0.2224823452
327	0.2224055626
328	0.2223685491
329	0.2222688604
330	0.2221394604
331	0.2220036281
332	0.2218964807
333	0.2218093544
334	0.2217673305
335	0.2216954415
336	0.2216038737
337	0.2215666251
338	0.2215094719
339	0.2214705401
340	0.2214322198
341	0.2213975985
342	0.2213432808
343	0.2212200792
344	0.2211821036
345	0.2211436964
346	0.2211096969
347	0.2210708692
348	0.2209948824
349	0.2209650443
350	0.2209315767
351	0.2208871874
352	0.2207953816
353	0.2207557701
354	0.2207221492
355	0.2206437125
356	0.2206145296
357	0.2205908893
358	0.2205555284
359	0.2205079074
360	0.2204799478
361	0.220454257
362	0.2204212961
363	0.2203984262
364	0.2203652848
365	0.2203360753
366	0.2202985589
367	0.2202601236
368	0.2202303328
369	0.2202099792
370	0.2201789292
371	0.2200928214
372	0.2200563728
373	0.219954861
374	0.2199310223
375	0.2198982863
376	0.2198221645
377	0.2197920902
378	0.2197626901
379	0.2197434842
380	0.2196560902
381	0.2196250584
382	0.2195934212
383	0.2195676582
384	0.2194827799
385	0.2194593958
386	0.2194156888
387	0.2193863183
388	0.2192631908
389	0.2192277236
390	0.2192054566
391	0.2191720631
392	0.2191424461
393	0.2191194734
394	0.219093427
395	0.2190677679
396	0.2190360906
397	0.2189994947
398	0.2189769306
399	0.2189532088
400	0.2189339749
401	0.2188792125
402	0.2188539555
403	0.2188222105
404	0.2187912501
405	0.2187667103
406	0.2187341841
407	0.2187017383
408	0.2186494657
409	0.2186152234
410	0.2185895483
411	0.2185692032
412	0.2185444843
413	0.2185071044
414	0.2183957191
415	0.2183715601
416	0.2182939308
417	0.2182661494
418	0.2182338571
419	0.2182022042
420	0.2181717935
421	0.2180856016
422	0.218061088
423	0.2180117355
424	0.2179869729
425	0.2179644511
426	0.2178860032
427	0.2177933357
428	0.21775769
429	0.2177334695
430	0.217621995
431	0.2175925505
432	0.2175720484
433	0.2175453326
434	0.217502094
435	0.2174741474
436	0.2174463717
437	0.217357809
438	0.2173035533
439	0.2172781194
440	0.2172438507
441	0.2172162369
442	0.2171868681
443	0.2171573692
444	0.2171343229
445	0.2171069881
446	0.2170796467
447	0.2169857456
448	0.2169548975
449	0.2169304452
450	0.2168980976
451	0.2168765024
452	0.2168465201
453	0.2168165166
454	0.2167191331
455	0.2166967515
456	0.2166792119
457	0.2166520664
458	0.2166267838
459	0.2165923409
460	0.2165624033
461	0.216530522
462	0.2164994863
463	0.2164781222
464	0.2164558383
465	0.216424461
466	0.2163986463
